r,accuracy,target
"[2.00636887550354, 0.5001626014709473, 0.5]"
"[2.1077260971069336, 0.6605743169784546, 0.5]"
"[2.568878173828125, 0.5010071396827698, 0.5]"
"[2.152221202850342, 0.5013695955276489, 0.5]"
"[1.8868334293365479, 0.6658423542976379, 0.5]"
"[2.0158333778381348, 0.6663611531257629, 0.5]"
"[1.9025367498397827, 0.5008763670921326, 0.5]"
"[1.7108829021453857, 0.6660770773887634, 0.5]"
"[1.7295935153961182, 0.8316531777381897, 0.5]"
"[1.623786449432373, 0.5001636743545532, 0.5]"
"[2.1589086055755615, 0.6616466045379639, 0.5]"
"[1.957122564315796, 0.647645890712738, 0.5]"
"[1.6344325542449951, 0.5001504421234131, 0.5]"
"[2.424262523651123, 0.5008953809738159, 0.5]"
"[1.7236838340759277, 0.6658964157104492, 0.5]"
"[2.206688404083252, 0.6560668349266052, 0.5]"
"[1.2590233087539673, 0.6663753390312195, 0.5]"
"[1.7000924348831177, 0.8320937156677246, 0.5]"
"[2.074054718017578, 0.503659725189209, 0.5]"
"[1.989975929260254, 0.6648616790771484, 0.5]"
"[2.088253974914551, 0.5001639127731323, 0.5]"
"[2.1826236248016357, 0.6646413207054138, 0.5]"
"[1.973494052886963, 0.6607000827789307, 0.5]"
"[1.8938655853271484, 0.6619454622268677, 0.5]"
"[1.7438902854919434, 0.832137405872345, 0.5]"
"[1.9279941320419312, 0.5001696348190308, 0.5]"
"[2.2324905395507812, 0.662091851234436, 0.5]"
"[3.0435826778411865, 0.5005767345428467, 0.5]"
"[2.79412841796875, 0.6664034724235535, 0.5]"
"[2.0870885848999023, 0.5052280426025391, 0.5]"
"[1.675246000289917, 0.5004990696907043, 0.5]"
"[2.098900318145752, 0.5002083778381348, 0.5]"
"[2.183312177658081, 0.6624658107757568, 0.5]"
"[1.9567217826843262, 0.5001513957977295, 0.5]"
"[1.7530888319015503, 0.5001664757728577, 0.5]"
"[2.0742554664611816, 0.5731842517852783, 0.5]"
"[2.2894442081451416, 0.5001845955848694, 0.5]"
"[2.0982749462127686, 0.6632459163665771, 0.5]"
"[1.6197761297225952, 0.828964114189148, 0.5]"
"[2.116633415222168, 0.6598077416419983, 0.5]"
"[2.2863974571228027, 0.6636170148849487, 0.5]"
"[1.4620635509490967, 0.8319173455238342, 0.5]"
"[1.153105616569519, 0.8320707678794861, 0.5]"
"[2.110696792602539, 0.5001903176307678, 0.5]"
"[2.0958070755004883, 0.5018099546432495, 0.5]"
"[2.358001232147217, 0.5011564493179321, 0.5]"
"[1.90300452709198, 0.6642828583717346, 0.5]"
"[1.8220857381820679, 0.6616666913032532, 0.5]"
"[1.9773592948913574, 0.6610000729560852, 0.5]"
"[1.46700918674469, 0.8289089798927307, 0.5]"
"[2.032015323638916, 0.5011930465698242, 0.5]"
"[2.370868444442749, 0.5001382231712341, 0.5]"
"[1.9239709377288818, 0.5004589557647705, 0.5]"
