r,accuracy
"[0.6410765647888184, 0.9630416035652161]"
"[0.6421593427658081, 0.9635204672813416]"
"[0.6182045340538025, 0.960796058177948]"
"[0.5214570760726929, 0.9626193642616272]"
"[0.569839358329773, 0.9614357948303223]"
"[0.6028010249137878, 0.9596204161643982]"
"[0.6237600445747375, 0.9614371657371521]"
"[0.5266821384429932, 0.9597508907318115]"
"[0.8111546635627747, 0.9592151641845703]"
"[0.6916574239730835, 0.9586744904518127]"
"[0.49928128719329834, 0.9618505239486694]"
"[0.5208274126052856, 0.9623622298240662]"
"[0.5340099334716797, 0.9601019620895386]"
"[0.7096707820892334, 0.9626849293708801]"
"[0.7881772518157959, 0.9617196321487427]"
"[0.5467019081115723, 0.9612922668457031]"
"[0.4822545647621155, 0.9606307148933411]"
"[1.018730640411377, 0.9613478779792786]"
"[0.5765206813812256, 0.9602975249290466]"
"[0.7544835805892944, 0.9635327458381653]"
"[1.1722755432128906, 0.9646624326705933]"
"[0.9307926893234253, 0.9610729217529297]"
"[0.6034078001976013, 0.9606043100357056]"
"[0.6858738660812378, 0.9624786972999573]"
"[0.6676249504089355, 0.9624670743942261]"
"[0.6238383650779724, 0.9584886431694031]"
"[0.5449919104576111, 0.9610912799835205]"
"[0.5606410503387451, 0.9617870450019836]"
"[0.5929984450340271, 0.9637125134468079]"
"[0.4550870656967163, 0.9592164158821106]"
"[0.48695674538612366, 0.9631383419036865]"
"[0.9984918832778931, 0.9578894972801208]"
"[0.6295697689056396, 0.9608427286148071]"
"[0.5967200994491577, 0.9582164287567139]"
"[0.5859516859054565, 0.9611128568649292]"
"[0.4829442501068115, 0.9627875089645386]"
"[0.658934473991394, 0.9580838680267334]"
"[0.879631757736206, 0.960889458656311]"
"[0.6632738709449768, 0.9641193747520447]"
"[0.5085062384605408, 0.9612479209899902]"
"[0.4917437434196472, 0.9631117582321167]"
"[0.5600051283836365, 0.9612479209899902]"
"[0.5804879069328308, 0.9624172449111938]"
"[0.6617785692214966, 0.9606797695159912]"
"[0.5688069462776184, 0.9591554403305054]"
"[0.7023407220840454, 0.9631363749504089]"
"[0.6238107681274414, 0.9620382785797119]"
"[0.6956545114517212, 0.9569723606109619]"
"[0.627621054649353, 0.9631123542785645]"
"[0.5421215295791626, 0.9641445875167847]"
"[0.4877050817012787, 0.9610240459442139]"
"[0.7184089422225952, 0.9589644074440002]"
"[0.46571844816207886, 0.9631341695785522]"
"[0.6265503168106079, 0.9603313207626343]"
"[0.563752293586731, 0.960239827632904]"
"[0.6580802202224731, 0.9607294797897339]"
"[0.846447765827179, 0.9589710235595703]"
"[0.6000761985778809, 0.9601033329963684]"
"[0.632290244102478, 0.9608585834503174]"
"[0.4846478998661041, 0.9625850319862366]"
"[0.6124411821365356, 0.9619796276092529]"
"[0.6273335814476013, 0.9604609608650208]"
"[0.6420415043830872, 0.9598755836486816]"
"[0.45923522114753723, 0.9619553685188293]"
"[0.7609463334083557, 0.9593152403831482]"
"[0.5449568629264832, 0.9603806138038635]"
"[0.6484214067459106, 0.9607590436935425]"
"[0.5095770955085754, 0.9605885148048401]"
"[0.4839640259742737, 0.9606331586837769]"
"[0.5238533020019531, 0.9613920450210571]"
"[0.7777078747749329, 0.9643276929855347]"
"[0.6296960115432739, 0.9598662257194519]"
"[0.732276201248169, 0.960871696472168]"
"[0.6315705180168152, 0.9615026712417603]"
"[0.5685368776321411, 0.9634005427360535]"
"[0.6350268125534058, 0.9620482325553894]"
"[0.5666438341140747, 0.9655246138572693]"
"[0.4982438385486603, 0.9603999853134155]"
"[0.4973931908607483, 0.963660717010498]"
"[0.6464128494262695, 0.9627121686935425]"
"[0.8558832406997681, 0.9596717953681946]"
"[0.6277145743370056, 0.9611780643463135]"
"[0.6146132946014404, 0.9601401686668396]"
"[0.759003758430481, 0.9593425393104553]"
"[0.6067520380020142, 0.9639612436294556]"
"[0.5820115804672241, 0.9598893523216248]"
"[0.6119164824485779, 0.9636697173118591]"
