r,accuracy,target
"[2.2580294609069824, 0.509920597076416, 0.5]"
"[1.7488582134246826, 0.6862514615058899, 0.5]"
"[2.3718574047088623, 0.5015015006065369, 0.5]"
"[1.239835500717163, 0.9412370920181274, 0.5]"
"[2.694253444671631, 0.6449823379516602, 0.5]"
"[2.1379430294036865, 0.5024630427360535, 0.5]"
"[2.2261343002319336, 0.5968801379203796, 0.5]"
"[1.970813274383545, 0.6722580790519714, 0.5]"
"[2.4148106575012207, 0.5027652382850647, 0.5]"
"[2.1859583854675293, 0.5102040767669678, 0.5]"
"[2.1039609909057617, 0.5065243244171143, 0.5]"
"[1.9749442338943481, 0.556186854839325, 0.5]"
"[2.2794601917266846, 0.5026738047599792, 0.5]"
"[2.130460023880005, 0.5031538009643555, 0.5]"
"[1.9667149782180786, 0.6097561120986938, 0.5]"
"[3.592209815979004, 0.5507507920265198, 0.5]"
"[2.007941961288452, 0.5080091953277588, 0.5]"
"[1.9059011936187744, 0.5691214799880981, 0.5]"
"[2.393765687942505, 0.5199105143547058, 0.5]"
"[1.5864818096160889, 0.692457377910614, 0.5]"
"[1.780289888381958, 0.5103479027748108, 0.5]"
"[1.984222412109375, 0.6028472781181335, 0.5]"
"[2.160574197769165, 0.5043859481811523, 0.5]"
"[2.056016445159912, 0.5263417363166809, 0.5]"
"[2.0376572608947754, 0.5876153111457825, 0.5]"
"[2.064661979675293, 0.5237069129943848, 0.5]"
"[2.091701030731201, 0.5222840905189514, 0.5]"
"[1.996461272239685, 0.6596490740776062, 0.5]"
"[2.020120143890381, 0.5596797466278076, 0.5]"
"[1.7038052082061768, 0.713178277015686, 0.5]"
"[1.8959640264511108, 0.6666666865348816, 0.5]"
"[1.9522476196289062, 0.6043084263801575, 0.5]"
"[2.5092644691467285, 0.5147679448127747, 0.5]"
"[2.14453125, 0.5059828758239746, 0.5]"
"[1.850372076034546, 0.5029797554016113, 0.5]"
"[2.225205898284912, 0.5701320171356201, 0.5]"
"[2.610830307006836, 0.5004094839096069, 0.5]"
"[1.800531029701233, 0.7112794518470764, 0.5]"
"[2.0084848403930664, 0.6756410598754883, 0.5]"
"[2.087446689605713, 0.5004240870475769, 0.5]"
"[1.873377799987793, 0.666218638420105, 0.5]"
"[2.177198886871338, 0.50910884141922, 0.5]"
"[1.7199435234069824, 0.6436024308204651, 0.5]"
"[1.8931034803390503, 0.5133457779884338, 0.5]"
"[1.7044106721878052, 0.7816764116287231, 0.5]"
"[2.1953375339508057, 0.5300300717353821, 0.5]"
"[2.196423053741455, 0.500971794128418, 0.5]"
"[1.9340475797653198, 0.921088457107544, 0.5]"
"[2.012115478515625, 0.5493230223655701, 0.5]"
"[2.7634634971618652, 0.5727109313011169, 0.5]"
"[2.0211448669433594, 0.6334519982337952, 0.5]"
"[2.097097635269165, 0.5052682161331177, 0.5]"
"[2.2071309089660645, 0.5044882893562317, 0.5]"
"[1.8587071895599365, 0.5289052724838257, 0.5]"
"[1.846836805343628, 0.5013477206230164, 0.5]"
"[1.7377376556396484, 0.7423056364059448, 0.5]"
"[1.7029037475585938, 0.6347177624702454, 0.5]"
"[2.142195224761963, 0.5004065036773682, 0.5]"
"[2.1033499240875244, 0.5003464818000793, 0.5]"
"[2.227743148803711, 0.5040106773376465, 0.5]"
"[2.0194449424743652, 0.6696914434432983, 0.5]"
"[2.31721568107605, 0.5206204652786255, 0.5]"
"[1.8608944416046143, 0.6844627261161804, 0.5]"
"[2.558680295944214, 0.6254237294197083, 0.5]"
"[2.0346693992614746, 0.5015460848808289, 0.5]"
"[1.9924068450927734, 0.5051020383834839, 0.5]"
"[1.8568823337554932, 0.6549894213676453, 0.5]"
"[1.9453151226043701, 0.542568564414978, 0.5]"
"[1.902213215827942, 0.501396656036377, 0.5]"
"[2.2161285877227783, 0.5034095644950867, 0.5]"
"[2.137529134750366, 0.5025348663330078, 0.5]"
"[2.5354628562927246, 0.5086419582366943, 0.5]"
